HWY_NO,HWY_SFX_NO,HWY_LONG_NM,HWY_MED_NM,HWY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID,ALT_HWY_NO
429,,Crescent Lake Highway,CRESCENT LAKE,,2003-03-27T00:00:00,ISCO866,429
431,,Warner Highway,WARNER,,2003-12-09T09:24:16.337,isco866,431
440,,Frenchglen Highway,FRENCHGLEN,,2003-03-27T00:00:00,ISCO866,440
442,,Steens Highway,STEENS,,2003-03-27T00:00:00,ISCO866,442
449,,Huntington Highway,HUNTINGTON,,2003-03-27T00:00:00,ISCO866,449
450,,Succor Creek Highway,SUCCOR CREEK,,2016-07-11T17:31:14.957,Hwye85p,450
451,,Vale-West Highway,VALE-WEST,,2003-03-27T00:00:00,ISCO866,451
453,,Adrian-Arena Valley Highway,ADRIAN-ARENA VALLEY,,2003-03-27T00:00:00,ISCO866,453
454,,Adrian-Caldwell Highway,ADRIAN-CALDWELL,,2003-03-27T00:00:00,ISCO866,454
455,,Olds Ferry-Ontario Highway,OLDS FERRY-ONTARIO,,2016-07-11T17:32:51.507,Hwye85p,455
456,,I.O.N.,I.O.N.,,2003-03-27T00:00:00,ISCO866,456
457,,Snake River Correctional Inst. Highway,SNAKE RIVER CORRECTIONAL INST,,2016-01-27T15:28:27.907,Hwye85p,457
480,,Redmond Spur,REDMOND SPUR,2012-12-31T00:00:00,2013-12-09T12:32:38.470,Hwye85p,480
481,,Baker-Copperfield Spur,BAKER-COPPERFIELD SPUR,,2011-06-23T15:06:41,hwye85p,481
482,,Redwood Spur,REDWOOD SPUR,,2019-08-13T12:44:05.650,hwye85p,482
483,,McMinnville Spur,MCMINNVILLE SPUR,,2016-07-11T17:34:18.067,Hwye85p,483
484,,Esplanade Spur,ESPLANADE SPUR,2022-09-21T00:00:00,2024-01-03T09:05:31.790,tdb241,484
485,,Fort Stevens Spur,FORT STEVENS SPUR,,2011-06-23T10:23:16,hwye85p,485
486,,Gold Hill Spur,GOLD HILL SPUR,,2011-06-23T15:04:20,hwye85p,486
487,,Celilo-Wasco Spur,CELILO-WASCO SPUR,,2011-06-23T15:12:28,hwye85p,487
488,,Chiloquin Spur,CHILOQUIN SPUR,,2011-06-23T15:12:58,hwye85p,488
489,,Parma Spur,PARMA SPUR,,2011-06-23T15:08:20,hwye85p,489
490,,Homedale Spur,HOMEDALE SPUR,,2011-06-23T15:09:12,hwye85p,490
491,,Weiser Spur,WEISER SPUR,,2011-06-23T15:09:37,hwye85p,491
492,,Payette Spur,PAYETTE SPUR,,2011-06-23T15:10:13,hwye85p,492
493,,Ontario Spur,ONTARIO SPUR,,2011-06-23T15:10:47,hwye85p,493
